,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
98448,33.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,Bronze,EST,Allar Raja,Summer,M,Rowing,Estonia,196086,95.0,2016
98669,22.0,Rio de Janeiro,Boxing Men's Bantamweight,2016 Summer,165.0,Gold,CUB,Robeisy Eloy Ramrez Carrazana,Summer,M,Boxing,Cuba,196557,56.0,2016
98692,25.0,Rio de Janeiro,"Wrestling Men's Welterweight, Freestyle",2016 Summer,170.0,Gold,RUS,Soslan Lyudvikovich Ramonov,Summer,M,Wrestling,Russia,196594,65.0,2016
98886,30.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,198.0,Gold,GBR,"Thomas Matthew ""Tom"" Ransley",Summer,M,Rowing,Great Britain,196970,101.0,2016
98982,25.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,191.0,Silver,SRB,Milena Rai,Summer,F,Volleyball,Serbia,197152,72.0,2016
99021,22.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,187.0,Bronze,DEN,Hedvig Lrke Berg Rasmussen,Summer,F,Rowing,Denmark,197239,79.0,2016
99523,35.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,Gold,GBR,"Peter ""Pete"" Reed",Summer,M,Rowing,Great Britain,198211,100.0,2016
99538,29.0,Rio de Janeiro,Athletics Women's Long Jump,2016 Summer,173.0,Silver,USA,Brittney Davon Reese,Summer,F,Athletics,United States,198246,61.0,2016
99568,28.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,188.0,Gold,USA,Emily Regan,Summer,F,Rowing,United States,198289,81.0,2016
99679,28.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,188.0,Bronze,GER,Tobias Reichmann,Summer,M,Handball,Germany,198513,87.0,2016
99780,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,Silver,GER,Maximilian Reinelt,Summer,M,Rowing,Germany,198703,98.0,2016
99913,28.0,Rio de Janeiro,Boxing Women's Flyweight,2016 Summer,167.0,Bronze,CHN,Ren Cancan,Summer,F,Boxing,China,198935,51.0,2016
100032,28.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,184.0,Silver,GBR,"Robert Peter ""Robbie"" Renwick",Summer,M,Swimming,Great Britain,199172,80.0,2016
100219,36.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,205.0,Bronze,ESP,Felipe Reyes Cabaas,Summer,M,Basketball,Spain,199548,109.0,2016
100289,30.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Greco-Roman",2016 Summer,185.0,Bronze,IRI,Ghasem Gholamreza Rezaei,Summer,M,Wrestling,Iran,199656,100.0,2016
100351,31.0,Rio de Janeiro,Gymnastics Men's Horse Vault,2016 Summer,155.0,Gold,PRK,Ri Se-Gwang,Summer,M,Gymnastics,North Korea,199788,54.0,2016
100714,32.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,175.0,Bronze,NOR,Linn-Kristin Ullevoldster Riegelhuth Koren,Summer,F,Handball,Norway,200547,66.0,2016
101070,27.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,202.0,Silver,LTU,Saulius Ritter,Summer,M,Rowing,Lithuania,201228,110.0,2016
101273,37.0,Rio de Janeiro,Athletics Women's Discus Throw,2016 Summer,180.0,Silver,FRA,Mlina Robert-Michon,Summer,F,Athletics,France,201639,85.0,2016
101292,27.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,188.0,Gold,USA,Gil Roberts,Summer,M,Athletics,United States,201673,82.0,2016
101298,25.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,194.0,Bronze,AUS,James Roberts,Summer,M,Swimming,Australia,201684,90.0,2016
101454,24.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Bronze,USA,Kelsey Robinson,Summer,F,Volleyball,United States,201998,70.0,2016
101660,24.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,195.0,Bronze,CAN,Brendon Rodney,Summer,M,Athletics,Canada,202389,80.0,2016
101810,24.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,180.0,Silver,ESP,Leonor Rodrguez Manso,Summer,F,Basketball,Spain,202703,72.0,2016
101829,22.0,Rio de Janeiro,Boxing Men's Middleweight,2016 Summer,178.0,Bronze,MEX,Misael Uziel Rodrguez Olivas,Summer,M,Boxing,Mexico,202735,75.0,2016
101854,30.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,191.0,Bronze,ESP,Sergio Rodrguez Gmez,Summer,M,Basketball,Spain,202775,80.0,2016
101889,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,Bronze,NED,Boudewijn Rell,Summer,M,Rowing,Netherlands,202833,100.0,2016
102024,24.0,Rio de Janeiro,Athletics Men's Javelin Throw,2016 Summer,192.0,Gold,GER,Thomas Rhler,Summer,M,Athletics,Germany,203161,92.0,2016
102089,20.0,Rio de Janeiro,Athletics Women's Triple Jump,2016 Summer,192.0,Silver,VEN,Yulimar del Valle Rojas Rodrguez,Summer,F,Athletics,Venezuela,203315,72.0,2016
102175,24.0,Rio de Janeiro,Athletics Women's 100 metres Hurdles,2016 Summer,165.0,Gold,USA,Brianna Rollins,Summer,F,Athletics,United States,203515,59.0,2016
102321,21.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,177.0,Silver,ESP,Leticia Romero Gonzlez,Summer,F,Basketball,Spain,203801,62.0,2016
102779,30.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,185.0,Silver,ITA,Salvatore Rossini,Summer,M,Volleyball,Italy,204684,82.0,2016
103209,25.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,193.0,Bronze,ESP,"Ricard ""Ricky"" Rubio Vives",Summer,M,Basketball,Spain,205588,82.0,2016
103225,16.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,180.0,Bronze,CAN,Taylor Madison Ruck,Summer,F,Swimming,Canada,205631,60.0,2016
103274,27.0,Rio de Janeiro,Athletics Men's 800 metres,2016 Summer,190.0,Gold,KEN,David Lekuta Rudisha,Summer,M,Athletics,Kenya,205740,76.0,2016
103490,20.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,193.0,Gold,USA,Cierra Runge,Summer,F,Swimming,United States,206160,85.0,2016
103528,30.0,Rio de Janeiro,Athletics Men's Marathon,2016 Summer,181.0,Bronze,USA,Galen Rupp,Summer,M,Athletics,United States,206250,61.0,2016
103595,23.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,206.0,Bronze,USA,Aaron Russell,Summer,M,Volleyball,United States,206375,93.0,2016
103597,24.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,174.0,Bronze,BAH,Alonzo Russell,Summer,M,Athletics,Bahamas,206378,68.0,2016
103686,29.0,Rio de Janeiro,Athletics Men's Long Jump,2016 Summer,188.0,Bronze,GBR,"Gregory James ""Greg"" Rutherford",Summer,M,Athletics,Great Britain,206559,92.0,2016
103877,19.0,Rio de Janeiro,Swimming Men's 200 metres Backstroke,2016 Summer,184.0,Bronze,RUS,Yevgeny Mikhaylovich Rylov,Summer,M,Swimming,Russia,206979,69.0,2016
103888,31.0,Rio de Janeiro,Athletics Women's Triple Jump,2016 Summer,183.0,Bronze,KAZ,Olga Sergeyevna Rypakova (Alekseyeva-),Summer,F,Athletics,Kazakhstan,207002,62.0,2016
103994,30.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,209.0,Gold,BRA,Lucas Saatkamp,Summer,M,Volleyball,Brazil,207259,101.0,2016
104166,20.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Freestyle",2016 Summer,177.0,Gold,RUS,Abdul-Rashid Bulayevich Sadulayev,Summer,M,Wrestling,Russia,207589,86.0,2016
104327,23.0,Rio de Janeiro,Boxing Men's Middleweight,2016 Summer,180.0,Bronze,AZE,Kamran ahsuvarl,Summer,M,Boxing,Azerbaijan,207852,75.0,2016
104355,31.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Freestyle",2016 Summer,180.0,Bronze,BLR,Ibragim Magomed-Saidovich Saidov,Summer,M,Wrestling,Belarus,207893,125.0,2016
104486,21.0,Rio de Janeiro,Swimming Men's 200 metres Butterfly,2016 Summer,181.0,Silver,JPN,Masato Sakai,Summer,M,Swimming,Japan,208153,77.0,2016
105311,24.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,193.0,Bronze,USA,Taylor Sander,Summer,M,Volleyball,United States,209734,86.0,2016
105802,31.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Freestyle",2016 Summer,188.0,Bronze,ROU,Albert Saritov,Summer,M,Wrestling,Romania,210697,100.0,2016
105974,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,198.0,Gold,GBR,"William Spencer ""Will"" Satch",Summer,M,Rowing,Great Britain,211029,100.0,2016
106100,33.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,169.0,Silver,GER,Martin Sauer,Summer,M,Rowing,Germany,211287,55.0,2016
106188,23.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,167.0,Bronze,CAN,Katerine Savard,Summer,F,Swimming,Canada,211466,54.0,2016
106301,26.0,Rio de Janeiro,Boxing Men's Heavyweight,2016 Summer,192.0,Bronze,CUB,Erislandy Savn Cotilla,Summer,M,Boxing,Cuba,211722,91.0,2016
106423,28.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,202.0,Gold,GBR,"Mohamed Karim ""Moe"" Sbihi",Summer,M,Rowing,Great Britain,211987,110.0,2016
106646,19.0,Rio de Janeiro,Gymnastics Women's Uneven Bars,2016 Summer,167.0,Bronze,GER,Sophie Celina Scheder,Summer,F,Gymnastics,Germany,212403,56.0,2016
106907,24.0,Rio de Janeiro,Athletics Women's 200 metres,2016 Summer,179.0,Silver,NED,Dafne Schippers,Summer,F,Athletics,Netherlands,212903,70.0,2016
107024,28.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,180.0,Gold,USA,Lauren Schmetterling,Summer,F,Rowing,United States,213132,77.0,2016
107069,25.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,173.0,Gold,GER,Lisa Schmidla,Summer,F,Rowing,Germany,213226,76.0,2016
107131,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,191.0,Silver,GER,Richard Schmidt,Summer,M,Rowing,Germany,213343,87.0,2016
107185,26.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,185.0,Gold,USA,Allison Rodgers Schmitt,Summer,F,Swimming,United States,213444,75.0,2016
107434,25.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,195.0,Gold,GER,Lauritz Schoof,Summer,M,Rowing,Germany,213949,98.0,2016
107436,21.0,Rio de Janeiro,Swimming Men's 100 metres Butterfly,2016 Summer,184.0,Gold,SGP,Joseph Isaac Schooling,Summer,M,Swimming,Singapore,213955,74.0,2016
107703,28.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,Gold,GER,Karl Schulze,Summer,M,Rowing,Germany,214534,100.0,2016
107750,25.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,186.0,Gold,SUI,Simon Schrch,Summer,M,Rowing,Switzerland,214624,75.0,2016
107993,19.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,190.0,Silver,GBR,Duncan William MacNaughton Scott,Summer,M,Swimming,Great Britain,215123,72.0,2016
108041,32.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,178.0,Silver,NZL,Rebecca Scown,Summer,F,Rowing,New Zealand,215212,70.0,2016
108186,32.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,184.0,Gold,RUS,Anna Sergeyevna Sedoykina,Summer,F,Handball,Russia,215488,74.0,2016
108198,24.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,180.0,Silver,AUS,Emily Jane Seebohm,Summer,F,Swimming,Australia,215515,70.0,2016
108532,25.0,Rio de Janeiro,Athletics Women's 800 metres,2016 Summer,178.0,Gold,RSA,Mokgadi Caster Semenya,Summer,F,Athletics,South Africa,216211,70.0,2016
108579,20.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016 Summer,187.0,Bronze,RUS,Sergey Viktorovich Semyonov,Summer,M,Wrestling,Russia,216315,130.0,2016
108586,25.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,186.0,Gold,RUS,Anna Sergeyevna Sen,Summer,F,Handball,Russia,216328,81.0,2016
108960,22.0,Rio de Janeiro,Swimming Men's 400 metres Individual Medley,2016 Summer,174.0,Bronze,JPN,Daiya Seto,Summer,M,Swimming,Japan,216972,72.0,2016
109062,23.0,Rio de Janeiro,"Wrestling Men's Welterweight, Freestyle",2016 Summer,170.0,Silver,AZE,Torul sgrov,Summer,M,Wrestling,Azerbaijan,217140,65.0,2016
109169,27.0,Rio de Janeiro,Boxing Women's Middleweight,2016 Summer,172.0,Bronze,KAZ,Dariga Shakimova,Summer,F,Boxing,Kazakhstan,217346,75.0,2016
109218,20.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,143.0,Bronze,CHN,Shang Chunsong,Summer,F,Gymnastics,China,217446,34.0,2016
109676,23.0,Rio de Janeiro,Swimming Women's 200 metres Breaststroke,2016 Summer,175.0,Bronze,CHN,Shi Jinglin,Summer,F,Swimming,China,218382,68.0,2016
109724,21.0,Rio de Janeiro,Boxing Women's Middleweight,2016 Summer,175.0,Gold,USA,Claressa Maria Shields,Summer,F,Boxing,United States,218460,75.0,2016
109727,25.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,193.0,Gold,USA,"Thomas Allen ""Tom"" Shields",Summer,M,Swimming,United States,218467,86.0,2016
109869,19.0,Rio de Janeiro,Gymnastics Men's Horse Vault,2016 Summer,162.0,Bronze,JPN,Kenzo Shirai,Summer,M,Gymnastics,Japan,218757,51.0,2016
109967,26.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,183.0,Bronze,USA,Erik Thomas Shoji,Summer,M,Volleyball,United States,218936,73.0,2016
109968,28.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,191.0,Bronze,USA,Kawika Shoji,Summer,M,Volleyball,United States,218937,88.0,2016
110265,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,Bronze,NED,Olivier Floris Johannes Siegelaar,Summer,M,Rowing,Netherlands,219503,100.0,2016
110718,27.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,183.0,Gold,USA,Kerry Simmonds,Summer,F,Rowing,United States,220444,82.0,2016
110840,30.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,203.0,Silver,SRB,Marko Simonovi,Summer,M,Basketball,Serbia,220684,96.0,2016
111288,31.0,Rio de Janeiro,"Wrestling Women's Featherweight, Freestyle",2016 Summer,160.0,Bronze,AZE,Nataliya Siniin,Summer,F,Wrestling,Azerbaijan,221424,58.0,2016
111300,26.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,188.0,Gold,CRO,Martin Sinkovi,Summer,M,Rowing,Croatia,221462,95.0,2016
111301,28.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,187.0,Gold,CRO,Valent Sinkovi,Summer,M,Rowing,Croatia,221464,93.0,2016
111358,23.0,Rio de Janeiro,Taekwondo Men's Heavyweight,2016 Summer,190.0,Bronze,BRA,Maicon de Andrade Siqueira,Summer,M,Taekwondo,Brazil,221565,90.0,2016
111543,22.0,Rio de Janeiro,Swimming Women's 100 metres Butterfly,2016 Summer,182.0,Gold,SWE,Sarah Frederica Sjstrm,Summer,F,Swimming,Sweden,221953,76.0,2016
111995,29.0,Rio de Janeiro,Athletics Women's 400 metres Hurdles,2016 Summer,171.0,Silver,DEN,Sara Slott-Bruun Petersen,Summer,F,Athletics,Denmark,222982,57.0,2016
112220,21.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,206.0,Gold,USA,Clark Smith,Summer,M,Swimming,United States,223446,90.0,2016
112232,31.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,201.0,Bronze,USA,David Michael Smith,Summer,M,Volleyball,United States,223465,86.0,2016
112334,21.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,178.0,Gold,USA,Leah Smith,Summer,F,Swimming,United States,223654,67.0,2016
112342,27.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,184.0,Silver,GBR,Louis Antoine Smith,Summer,M,Gymnastics,Great Britain,223676,76.0,2016
112475,21.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,188.0,Gold,USA,Olivia Smoliga,Summer,F,Swimming,United States,223912,72.0,2016
112592,28.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,163.0,Gold,USA,Katelin Snyder (-Guregian),Summer,F,Rowing,United States,224159,50.0,2016
112593,20.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Freestyle",2016 Summer,180.0,Gold,USA,Kyle Frederick Snyder,Summer,M,Wrestling,United States,224160,102.0,2016
112872,26.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Bronze,NOR,Sanna Charlotte Solberg,Summer,F,Handball,Norway,224706,70.0,2016
112904,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,184.0,Bronze,FRA,Franck Robert Bernard Solforosi,Summer,M,Rowing,France,224775,70.0,2016
113243,32.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,192.0,Silver,FRA,Cdric Sorhaindo,Summer,M,Handball,France,225388,110.0,2016
113381,31.0,Rio de Janeiro,Boxing Men's Light-Welterweight,2016 Summer,185.0,Silver,AZE,Lorenzo Sotomayor Collazo,Summer,M,Boxing,Azerbaijan,225622,64.0,2016
113389,36.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,186.0,Silver,ITA,Daniele Pasquale Sottile,Summer,M,Volleyball,Italy,225657,73.0,2016
113486,20.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,199.0,Gold,BRA,Douglas Correia de Souza,Summer,M,Volleyball,Brazil,225842,75.0,2016
113499,27.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,209.0,Gold,BRA,Maurcio Luiz de Souza,Summer,M,Volleyball,Brazil,225874,93.0,2016
113553,35.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,195.0,Gold,DEN,Kasper Sndergaard Sarup,Summer,M,Handball,Denmark,225969,95.0,2016
113674,26.0,Rio de Janeiro,Athletics Women's Long Jump,2016 Summer,176.0,Bronze,SRB,Ivana panovi,Summer,F,Athletics,Serbia,226165,65.0,2016
113763,23.0,Rio de Janeiro,Athletics Women's 400 metres Hurdles,2016 Summer,178.0,Bronze,USA,Ashley Spencer,Summer,F,Athletics,United States,226358,59.0,2016
113892,18.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,156.0,Silver,RUS,Darya Sergeyevna Spiridonova,Summer,F,Gymnastics,Russia,226616,45.0,2016
113946,35.0,Rio de Janeiro,Athletics Women's Javelin Throw,2016 Summer,182.0,Bronze,CZE,Barbora potkov,Summer,F,Athletics,Czech Republic,226762,80.0,2016
113991,25.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,174.0,Bronze,POL,Maria Springwald,Summer,F,Rowing,Poland,226849,69.0,2016
114078,27.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Freestyle",2016 Summer,180.0,Bronze,AZE,rif rifov,Summer,M,Wrestling,Azerbaijan,227015,97.0,2016
114079,27.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016 Summer,192.0,Bronze,AZE,Sabah riti,Summer,M,Wrestling,Azerbaijan,227016,130.0,2016
114160,28.0,Rio de Janeiro,"Wrestling Women's Flyweight, Freestyle",2016 Summer,157.0,Silver,AZE,Mariya Stadnik,Summer,F,Wrestling,Azerbaijan,227206,48.0,2016
114347,21.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,195.0,Bronze,SRB,Dragana Stankovi,Summer,F,Basketball,Serbia,227590,73.0,2016
114367,31.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,181.0,Gold,GBR,Heather Mary Stanning,Summer,F,Rowing,Great Britain,227632,72.0,2016
114644,30.0,Rio de Janeiro,"Wrestling Men's Welterweight, Greco-Roman",2016 Summer,170.0,Gold,SRB,Davor tefanek,Summer,M,Wrestling,Serbia,228242,66.0,2016
114658,26.0,Rio de Janeiro,Athletics Women's Pole Vault,2016 Summer,173.0,Gold,GRE,"Aikaterini ""Ekaterini"" Stefanidi",Summer,F,Athletics,Greece,228276,59.0,2016
114826,22.0,Rio de Janeiro,Gymnastics Women's Horse Vault,2016 Summer,160.0,Bronze,SUI,Giulia Steingruber,Summer,F,Gymnastics,Switzerland,228654,56.0,2016
115059,24.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,192.0,Silver,SRB,Jovana Stevanovi,Summer,F,Volleyball,Serbia,229162,72.0,2016
115113,19.0,Rio de Janeiro,Boxing Men's Bantamweight,2016 Summer,173.0,Silver,USA,Shakur Stevenson,Summer,M,Boxing,United States,229256,56.0,2016
115132,21.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,193.0,Gold,USA,Breanna Mackenzie Stewart,Summer,F,Basketball,United States,229303,79.0,2016
115246,28.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,211.0,Silver,SRB,Vladimir timac,Summer,M,Basketball,Serbia,229531,112.0,2016
115459,31.0,Rio de Janeiro,Rowing Women's Single Sculls,2016 Summer,183.0,Silver,USA,"Genevra ""Gevvie"" Stone",Summer,F,Rowing,United States,229986,71.0,2016
115643,27.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,181.0,Bronze,NOR,Are Weierholt Strandli,Summer,M,Rowing,Norway,230399,69.0,2016
115717,28.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,190.0,Silver,FRA,Jrmy Stravius,Summer,M,Swimming,France,230549,86.0,2016
115758,19.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,170.0,Silver,RUS,Ivan Alekseyevich Stretovich,Summer,M,Gymnastics,Russia,230629,59.0,2016
115796,30.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,189.0,Bronze,GER,Martin Strobel,Summer,M,Handball,Germany,230700,90.0,2016
115883,27.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,180.0,Bronze,ROU,Ioana Strungaru (Crciun-),Summer,F,Rowing,Romania,230899,77.0,2016
116165,27.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,165.0,Gold,RUS,Marina Vladimirovna Sudakova (Yartseva-),Summer,F,Handball,Russia,231549,66.0,2016
116424,31.0,Rio de Janeiro,Athletics Women's Marathon,2016 Summer,160.0,Gold,KEN,Jemima Jelagat Sumgong,Summer,F,Athletics,Kenya,232069,45.0,2016
116504,23.0,Rio de Janeiro,"Wrestling Women's Flyweight, Freestyle",2016 Summer,161.0,Bronze,CHN,Sun Yanan,Summer,F,Wrestling,China,232222,51.0,2016
116505,24.0,Rio de Janeiro,Swimming Men's 400 metres Freestyle,2016 Summer,198.0,Silver,CHN,Sun Yang,Summer,M,Swimming,China,232231,89.0,2016
116859,32.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,185.0,Gold,DEN,Lasse Jemon Svan Hansen,Summer,M,Handball,Denmark,232967,85.0,2016
117068,28.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,185.0,Silver,GBR,Polly Ann M. Swann,Summer,F,Rowing,Great Britain,233432,76.0,2016
117258,33.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,199.0,Bronze,CZE,Ondej Synek,Summer,M,Rowing,Czech Republic,233799,105.0,2016
117302,24.0,Rio de Janeiro,"Wrestling Women's Light-Heavyweight, Freestyle",2016 Summer,172.0,Bronze,KAZ,Elmira Anuarbekovna Syzdykova,Summer,F,Wrestling,Kazakhstan,233872,69.0,2016
117835,29.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,194.0,Bronze,EST,Kaspar Taimsoo,Summer,M,Rowing,Estonia,234967,95.0,2016
118133,31.0,Rio de Janeiro,Athletics Men's 50 kilometres Walk,2016 Summer,178.0,Silver,AUS,Jared Tallent,Summer,M,Athletics,Australia,235614,58.0,2016
118268,19.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,148.0,Bronze,CHN,Tan Jiaxin,Summer,F,Gymnastics,China,235867,36.0,2016
118359,26.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,166.0,Gold,JPN,Yusuke Tanaka,Summer,M,Gymnastics,Japan,236062,58.0,2016
118509,25.0,Rio de Janeiro,"Athletics Men's 10,000 metres",2016 Summer,168.0,Silver,KEN,Paul Kipngetich Tanui,Summer,M,Athletics,Kenya,236372,47.0,2016
118702,24.0,Rio de Janeiro,"Wrestling Men's Featherweight, Greco-Roman",2016 Summer,160.0,Bronze,UZB,Elmurat Zulypkarovich Tasmuradov,Summer,M,Wrestling,Uzbekistan,236747,59.0,2016
118720,23.0,Rio de Janeiro,Taekwondo Women's Welterweight,2016 Summer,173.0,Bronze,TUR,Nur Tatar,Summer,F,Taekwondo,Turkey,236792,67.0,2016
118778,34.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,183.0,Gold,USA,Diana Lurena Taurasi,Summer,F,Basketball,United States,236889,70.0,2016
118870,26.0,Rio de Janeiro,Athletics Men's Triple Jump,2016 Summer,188.0,Gold,USA,Christian Taylor,Summer,M,Athletics,United States,237042,81.0,2016
119198,29.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,195.0,Silver,SRB,Milo Teodosi,Summer,M,Basketball,Serbia,237648,90.0,2016
119559,27.0,Rio de Janeiro,Athletics Women's Heptathlon,2016 Summer,175.0,Bronze,CAN,Brianne Theisen-Eaton,Summer,F,Athletics,Canada,238424,64.0,2016
119631,21.0,Rio de Janeiro,Athletics Women's Heptathlon,2016 Summer,184.0,Gold,BEL,"Nafissatou ""Nafi"" Thiam",Summer,F,Athletics,Belgium,238640,69.0,2016
119662,31.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,173.0,Gold,GER,Annekatrin Thiele,Summer,F,Rowing,Germany,238711,68.0,2016
119895,31.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,170.0,Bronze,USA,Courtney Lynn Thompson,Summer,F,Volleyball,United States,239176,66.0,2016
119903,24.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,167.0,Silver,JAM,Elaine Thompson,Summer,F,Athletics,Jamaica,239194,57.0,2016
119932,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,200.0,Gold,USA,Klay Alexander Thompson,Summer,M,Basketball,United States,239260,97.0,2016
120074,28.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,193.0,Silver,GBR,Victoria Thornley,Summer,F,Rowing,Great Britain,239593,76.0,2016
